Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Materials
Rolex,Daytona,116506-0001 (aka: m116506-0001),Cosmograph Daytona Platinum / Cerachrom / Ice Blue,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2013,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Ice Blue,Blue,Sunburst,Stick / Dot,Stick,"Ceramic, Platinum"
Rolex,Daytona,116515LN-0012,Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116515LN-0017 (aka: M116515ln-0017),Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116518LN-0039,Cosmograph Daytona Yellow Gold / Cerachrom / Black / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,Matte,Stick / Dot,Stick,"Ceramic, Yellow Gold"
Rolex,Daytona,116505-0009,Cosmograph Daytona Everose / Pink,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116505-0008 (aka: M116505-0008),Cosmograph Daytona Everose / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116505-0017 (aka: m116505-0017),Cosmograph Daytona Everose / Pink - Baguette,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Gem-Set Indexes,Stick,Rose Gold
Rolex,Daytona,116520-0016,Cosmograph Daytona Steel / White,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000 - 2011,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,,Stick / Dot,Stick,Stainless Steel
Rolex,Daytona,116500LN-0002 (aka: m116500ln-0002),Cosmograph Daytona Steel / Cerachrom / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,"Ceramic, Stainless Steel"
Rolex,Daytona,116505-0004,Cosmograph Daytona Everose / Chocolate,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Chocolate,Brown,Sunburst,Arabic Numerals,Stick,Rose Gold
Rolex,Daytona,116503-0008,Cosmograph Daytona Stainless Steel / Yellow Gold / Black - Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Gem-Set Indexes,Stick,"Yellow Gold, Stainless Steel"
Rolex,Daytona,116508-0011,Cosmograph Daytona Yellow Gold / Black MOP Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Gem-Set Indexes,Stick,Mother of Pearl
Rolex,Daytona,116515LN-0041 (aka: M116515ln-0041),Cosmograph Daytona Everose / Cerachrom / Chocolate / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Chocolate,Brown,Sunburst,Stick / Dot,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116505-0013 (aka: M116505-0013),Cosmograph Daytona Everose / Chocolate,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Chocolate,Brown,Sunburst,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116505-0010 (aka: m116505-0010),Cosmograph Daytona Everose / Ivory,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Ivory,,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116515LN-0061 (aka: M116515ln-0061),Cosmograph Daytona Everose / Cerachrom / Pink - Baguette / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Sundust,Pink,Sunburst,Gem-Set Indexes,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116520-0015,Cosmograph Daytona Steel / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000 - 2016,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,Stainless Steel
Rolex,Daytona,116519-0163,Cosmograph Daytona White Gold / Grey / Strap,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Grey,,Arabic Numerals,Stick,White Gold
Rolex,Daytona,116509-0036,Daytona White Gold Black Racing,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Racing,Black,,Arabic Numerals,Stick,White Gold
Rolex,Daytona,116515LN-0004,Cosmograph Daytona Everose / Cerachrom / Chocolate / Strap,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2011 - 2017,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Chocolate,Brown,,Arabic Numerals,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116505-0001,Cosmograph Daytona Everose Gold / Pink,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2011 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Stick / Dot,Stick,Rose Gold
