Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials,image_file,image_file_processed
Audemars Piguet,Royal Oak,15202OR.OO.1240OR.01,Royal Oak Extra-Thin Pink Gold / Blue,"Audemars Piguet caliber AP 2121
Hours, Minutes | Date",2012,No,,Sapphire,Open,Other,39.00 mm,9.80 mm,,50.00 m,Petite Tapisserie,Blue,,Stick / Dot,Stick,"""57600""",,15202OR.OO.1240OR.01.jpg,processed_15202OR.OO.1240OR.01.jpg
Audemars Piguet,Royal Oak,15468BC.YG.1259BC.01,Royal Oak 37 Double Balance Wheel Openworked Frosted White Gold / Rainbow,"Audemars Piguet caliber AP 3132
Hours, Minutes, Seconds | Skeleton, Double Balance",2019,No,Gem-Set,Sapphire,Open,Other,37.00 mm,10.00 mm,,50.00 m,,Skeleton,,Stick / Dot,Stick,,,15468BC.YG.1259BC.01.jpg,processed_15468BC.YG.1259BC.01.jpg
Audemars Piguet,Royal Oak Offshore,26425BC.ZZ.8045BC.01,Royal Oak Offshore 43 White Gold - Baguette / Baguette / Bracelet,"Audemars Piguet caliber AP 4409
Hours, Minutes | Chronograph, Column wheel, Flyback",2022,No,Gem-Set,Sapphire,Open,Other,43.00 mm,15.50 mm,,100.00 m,Méga Tapisserie,Diamonds,Gloss,Stick / Dot,Stick,,"Ceramic, White Gold, Diamond",26425BC.ZZ.8045BC.01.jpg,processed_26425BC.ZZ.8045BC.01.jpg
Audemars Piguet,Royal Oak Offshore,26400AU.OO.A002CA.01,Royal Oak Offshore 26400 Ceramic / Forged Carbon,"Audemars Piguet caliber AP 3126 / 3840
Hours, Minutes, Small Seconds | Date | Chronograph",2013,No,,Sapphire,Open,Other,44.00 mm,14.11 mm,,100.00 m,,Black,,,Stick,,"Titanium, Ceramic, Carbon",26400AU.OO.A002CA.01.jpg,processed_26400AU.OO.A002CA.01.jpg
Audemars Piguet,Jules Audemars,26151PT.OO.D028CR.01,Jules Audemars Minute Repeater Jumping Hours Platinum / White,"Audemars Piguet caliber AP 2907
Minutes, Small Seconds, Jumping Hours | Minute Repeater",,No,,Sapphire,Open,Round,43.00 mm,12.00 mm,,20.00 m,,White,Gloss,Arabic Numerals,Feuille,,,26151PT.OO.D028CR.01.jpg,processed_26151PT.OO.D028CR.01.jpg
Audemars Piguet,CODE 11.59,15210OR.OO.A028CR.01,CODE 11.59 Automatic Pink Gold / Blue Gradient,"Audemars Piguet caliber AP 4302
Hours, Minutes, Seconds | Date",2020 - 2022,No,,Sapphire,Open,Round,41.00 mm,10.70 mm,,30.00 m,,Blue,Gradient,Mixed,Stick,"""30100""",,15210OR.OO.A028CR.01.jpg,processed_15210OR.OO.A028CR.01.jpg
Audemars Piguet,CODE 11.59,15210BC.OO.A002CR.01,CODE 11.59 Automatic White Gold / Black,"Audemars Piguet caliber AP 4302
Hours, Minutes, Seconds | Date",2019,No,,Sapphire,Open,Round,41.00 mm,10.70 mm,,30.00 m,,Black,Gloss,Mixed,Stick,"""27900""",,15210BC.OO.A002CR.01.jpg,processed_15210BC.OO.A002CR.01.jpg
Audemars Piguet,CODE 11.59,15210OR.ZZ.D208CR.01,CODE 11.59 Automatic Pink Gold / Diamond,"Audemars Piguet caliber AP 4309
Hours, Minutes, Seconds",2022,No,,Sapphire,Open,Round,41.00 mm,10.70 mm,,30.00 m,,Diamonds,Gloss,Mixed,Stick,,"Pink Gold, Diamond",15210OR.ZZ.D208CR.01.jpg,processed_15210OR.ZZ.D208CR.01.jpg
Audemars Piguet,Royal Oak Offshore,25721BA.O.1000BA.03,Royal Oak OffShore 25721 Chronograph Yellow Gold / Silver,"Audemars Piguet caliber AP 2226 / 2840
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Closed,Other,42.00 mm,,,,Grande Tapisserie,Silver,,Stick / Dot,Stick,,,25721BA.O.1000BA.03.jpg,processed_25721BA.O.1000BA.03.jpg
Audemars Piguet,Royal Oak,26240ST.OO.1320ST.05,Royal Oak Chronograph 41 Stainless Steel / Blue,"Audemars Piguet caliber AP 2385
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2022,No,,Sapphire,Closed,Other,41.00 mm,12.00 mm,,50.00 m,Grande Tapisserie,Blue,,Stick / Dot,Stick,,,26240ST.OO.1320ST.05.jpg,processed_26240ST.OO.1320ST.05.jpg
Audemars Piguet,Jules Audemars,15180OR.OO.A002CR.01,Jules Audemars 15180 Extra-Thin Pink Gold / Black,"Audemars Piguet caliber AP 2120
Hours, Minutes",,No,,Sapphire,Open,Round,41.00 mm,6.70 mm,,20.00 m,,Black,Gloss,Stick / Dot,Feuille,"""26200""",,15180OR.OO.A002CR.01.jpg,processed_15180OR.OO.A002CR.01.jpg
Bulgari,Octo,103077,Octo Finissimo Automatic Ceramic / Black / Bracelet,"Bulgari caliber BVL 138
Hours, Minutes, Small Seconds",2019,No,,Sapphire,Open,Other,40.00 mm,5.15 mm,,30.00 m,,Black,Matte,Mixed,Dauphine,"""19100""",,103077.jpg,processed_103077.jpg
Bulgari,Bulgari Bulgari,102355,Bulgari Solotempo 41.5 Blue,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,,Round,41.50 mm,9.86 mm,,,,Blue,Sunburst,Mixed,Sword,"""6050""",,102355.jpg,processed_102355.jpg
Bulgari,Bulgari Bulgari,102396,Bulgari Solotempo 41.5 Blue Bracelet,,,No,,Sapphire,Open,Round,41.50 mm,9.86 mm,,,,Blue,Sunburst,Mixed,Sword,"""6550""",,102396.jpg,processed_102396.jpg
