URL,https://watchbase.com/rolex/daytona/116506-0001
Brand, Rolex
Family, Daytona
Reference, 116506-0001 (aka
Name, Cosmograph Daytona Platinum / Cerachrom / Ice Blue
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2013
Limited, No
Materials," Ceramic, Platinum"
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Nickname, Ice Blue
Color, Blue
Finish, Sunburst
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116515ln-0012
Brand, Rolex
Family, Daytona
Reference, 116515LN-0012
Name, Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2017 - 2019
Limited, No
Materials," Ceramic, Rose Gold"
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Color, Black
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116515ln-0017
Brand, Rolex
Family, Daytona
Reference, 116515LN-0017 (aka
Name, Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2019 - 2023
Limited, No
Materials," Ceramic, Rose Gold"
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Color, Black
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116506-0001
Brand, Rolex
Family, Daytona
Reference, 116506-0001 (aka
Name, Cosmograph Daytona Platinum / Cerachrom / Ice Blue
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2013
Limited, No
Materials," Ceramic, Platinum"
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Nickname, Ice Blue
Color, Blue
Finish, Sunburst
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116515ln-0012
Brand, Rolex
Family, Daytona
Reference, 116515LN-0012
Name, Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2017 - 2019
Limited, No
Materials," Ceramic, Rose Gold"
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Color, Black
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116505-0017
Brand, Rolex
Family, Daytona
Reference, 116505-0017 (aka
Name, Cosmograph Daytona Everose / Pink - Baguette
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2021
Limited, No
Material, Rose Gold
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Color, Pink
Finish, Sunburst
Indexes, Gem-Set Indexes
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116515ln-0017
Brand, Rolex
Family, Daytona
Reference, 116515LN-0017 (aka
Name, Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2019 - 2023
Limited, No
Materials," Ceramic, Rose Gold"
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Color, Black
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116520-0016
Brand, Rolex
Family, Daytona
Reference, 116520-0016
Name, Cosmograph Daytona Steel / White
Movement," Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer"
Produced, 2000 - 2011
Limited, No
Material, Stainless Steel
Bezel, Tachymeter
Glass, Sapphire
Back, Closed
Shape, Round
Diameter, 40.00 mm
Height, 12.40 mm
Lug Width, 20.00 mm
W/R, 100.00 m
Color, White
Indexes, Stick / Dot
Hands, Stick
URL,https://watchbase.com/rolex/daytona/116518ln-0039
Brand, Rolex
Family, Daytona
Reference, 116518LN-0039
Name, Cosmograph Daytona Yellow Gold / Cerachrom / Black / Oysterflex
