,filename,texture_features
0,49523D11A271-CKBA,[8.47963669e+02 3.88729130e-01 5.30738754e-01 9.22973856e-01]
1,49555-11-1A1-BB60,[6.10378025e+02 3.99822250e-01 5.76554202e-01 9.71747411e-01]
2,99830-21-000-BA6A,[7.59229833e+02 4.76662516e-01 6.00076268e-01 9.42797522e-01]
3,99105-26-231-BB6A,[7.75627871e+02 4.54844574e-01 5.52328817e-01 9.31713344e-01]
4,81010-11-131-BB6A,[6.69969160e+02 4.96053566e-01 5.85707954e-01 9.58306575e-01]
5,49523D11A171-11A,[9.52879216e+02 4.20437539e-01 5.47395751e-01 9.55607936e-01]
6,49534-52-R05-BB60,[612.41526685   0.63553666   0.67965184   0.94137093]
7,49534-52-R04-BB60,[6.17850480e+02 6.17847165e-01 6.66568485e-01 9.36726329e-01]
8,49555-11-1A1-11A,[1.01728899e+03 3.90517712e-01 5.38174020e-01 9.56854349e-01]
9,49538-52-231-BK6A,[6.72611774e+02 5.98368106e-01 6.63191143e-01 9.07239879e-01]
10,25882-11-121-BB6B,[7.40393445e+02 3.09962374e-01 4.53561835e-01 9.58695344e-01]
11,49523D11A1837CKDB,[7.54386807e+02 3.69123128e-01 5.14517032e-01 9.33876383e-01]
12,49528D11A172-11A,[9.24047471e+02 4.05554241e-01 5.24584300e-01 9.53071705e-01]
13,99295-21-000-BA6A,[6.74507204e+02 3.90100923e-01 5.62446071e-01 9.59315271e-01]
14,49538-53-133-BK6A,[7.26900334e+02 5.95881861e-01 6.62493713e-01 9.55109833e-01]
15,49525-52-133-BB60,[467.45718598   0.63745664   0.72921388   0.9634415 ]
16,25882-21-423-BB4A,[6.63340168e+02 3.16073628e-01 4.68649652e-01 8.25457898e-01]
17,49555-11-131-11A,[7.09898566e+02 6.48813025e-01 7.24801926e-01 9.63168021e-01]
18,81000-11-431-11A,[1.02770243e+03 5.13605855e-01 6.19756189e-01 9.30780373e-01]
19,86000-52-001-BB6A,[6.96789712e+02 3.54124516e-01 4.75718201e-01 9.47244296e-01]
20,99105-41-232-BB64,[7.83433389e+02 4.58617124e-01 5.51138962e-01 9.29550166e-01]
21,25882-11-223-BB6B,[1.10769737e+03 3.07411121e-01 4.16630066e-01 9.06866716e-01]
22,49528D52A131-CB6A,[9.91922549e+02 4.54476007e-01 5.67139255e-01 9.38858404e-01]
23,49528-52-771-CK6A,[9.20370504e+02 4.40821247e-01 5.49689357e-01 9.53295104e-01]
24,25882-21-223-BF6A,[6.84809552e+02 3.25338993e-01 4.74245280e-01 8.68494432e-01]
25,49523-11-171-CB6A,[6.42450644e+02 4.24240082e-01 5.83956446e-01 9.65823987e-01]
26,49527-53-432-BB4A,[6.34314954e+02 5.89812857e-01 6.78624689e-01 9.07818416e-01]
27,49525D52A1A1-BK6A,[6.57666204e+02 3.55446909e-01 5.45069694e-01 9.66429655e-01]
28,81000-11-131-11A,[8.22219450e+02 6.03899240e-01 6.85909007e-01 9.48847090e-01]
