Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Materials,image_file
Girard-Perregaux,1966,49528-52-771-CK6A,1966 30mm Pink Gold / MOP / Alligator,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,,White,,Stick / Dot,Feuille,Mother of Pearl,49528-52-771-CK6A.jpg
Girard-Perregaux,1966,49528D52A131-CB6A,1966 30mm Pink Gold / Diamond / Champagne / Alligator,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,,Champagne,,Stick / Dot,Feuille,Pink Gold,49528D52A131-CB6A.jpg
Girard-Perregaux,1966,49523-11-171-CB6A,1966 36mm Stainless Steel / Silver / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Mixed,Feuille,Stainless Steel,49523-11-171-CB6A.jpg
Girard-Perregaux,Vintage 1945,25882-21-223-BF6A,Vintage 1945 XXL Large Date and Moonphases Titanium DLC / Grey Sapphire,"Girard-Perregaux caliber GP03300-0124
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Grey,,Mixed,Sword,Sapphire,25882-21-223-BF6A.jpg
Girard-Perregaux,1966,49525D52A1A1-BK6A,1966 38 Pink Gold Black / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2015,No,,Sapphire,Open,Round,38.00 mm,8.62 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Feuille,Pink Gold,49525D52A1A1-BK6A.jpg
Girard-Perregaux,1966,49527-53-432-BB4A,1966 41 White Gold Blue,"Girard-Perregaux caliber GP01800-0004
Hours, Minutes, Small Seconds | Date",2014,No,,Sapphire,Open,Round,41.00 mm,10.01 mm,,30.00 m,,Blue,Sunburst,Stick / Dot,Feuille,White Gold,49527-53-432-BB4A.jpg
Girard-Perregaux,Bridges,86000-52-001-BB6A,Classic Bridges 45mm Pink Gold / Alligator,"Girard-Perregaux caliber GP08600-0002
Hours, Minutes",2018,No,,Sapphire,Open,Round,45.00 mm,12.16 mm,22.00 mm,30.00 m,,Skeleton,,Stick / Dot,Dauphine,Pink Gold,86000-52-001-BB6A.jpg
Girard-Perregaux,Vintage 1945,25882-11-223-BB6B,Vintage 1945 XXL Large Date and Moonphases Stainless Steel / Grey Sapphire,"Girard-Perregaux caliber GP03300-0105
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Grey,,Mixed,Sword,Sapphire,25882-11-223-BB6B.jpg
Girard-Perregaux,Laureato,99105-41-232-BB64,Laureato 45 Tourbillon Titanium / White Gold / Grey / Alligator,"Girard-Perregaux caliber GP09510-0001
Hours, Minutes | Tourbillon Escapement",2017,No,,Sapphire,Open,Round,45.00 mm,11.96 mm,28.00 mm,50.00 m,,Grey,Guilloche,Stick / Dot,Stick,"Titanium, White Gold",99105-41-232-BB64.jpg
Girard-Perregaux,Laureato,81020-11-431-11A,Laureato 42 Chronograph Stainless Steel / Blue / Bracelet,"Girard-Perregaux caliber GP03300-0138
Hours, Minutes, Seconds | Date | Chronograph",2018,No,,Sapphire,Closed,Round,42.00 mm,12.01 mm,27.00 mm,100.00 m,,Blue,,Stick / Dot,Stick,Stainless Steel,81020-11-431-11A.jpg
Girard-Perregaux,Vintage 1945,25882-21-423-BB4A,Vintage 1945 Earth To Sky Edition,"Girard-Perregaux caliber GP03300-0105
Hours, Minutes, Small Seconds | Big Date | Moonphase",2019,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Blue,,Arabic Numerals,Sword,Polycrystalline,25882-21-423-BB4A.jpg
Girard-Perregaux,1966,49523-11-171-11A,1966 36mm Stainless Steel / Silver / Bracelet,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Gem-Set Indexes,Feuille,Stainless Steel,49523-11-171-11A.jpg
Girard-Perregaux,Laureato,81000-11-131-11A,Laureato 41 Automatic Stainless Steel / Silver,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2016,"Yes, 225 units",,Sapphire,Open,Round,41.00 mm,10.10 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Stick,Stainless Steel,81000-11-131-11A.jpg
Girard-Perregaux,1966,49538-53-133-BK6A,1966 Annual Calendar Equation of Time White Gold,"Girard-Perregaux caliber GP03300-0010
Hours, Minutes, Small Seconds | Date, Month | Equation of time",2012,No,,Sapphire,Open,Round,40.00 mm,10.72 mm,,30.00 m,,Silver,Sunburst,Stick / Dot,Feuille,White Gold,49538-53-133-BK6A.jpg
Girard-Perregaux,1966,49525-52-133-BB60,1966 38 Pink Gold / Silver / Alligator,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2015,No,,Sapphire,Open,Round,38.00 mm,8.50 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Feuille,Pink Gold,49525-52-133-BB60.jpg
Girard-Perregaux,1966,49538-52-231-BK6A,1966 Annual Calendar Equation of Time Pink Gold Grey,"Girard-Perregaux caliber GP03300-0010
Hours, Minutes, Small Seconds | Date, Month | Equation of time",2012,No,,Sapphire,Open,Round,40.00 mm,10.72 mm,,30.00 m,Anthracite,Grey,Sunburst,Stick / Dot,Feuille,Pink Gold,49538-52-231-BK6A.jpg
Girard-Perregaux,Vintage 1945,25882-11-121-BB6B,Vintage 1945 XXL Large Date and Moonphases Stainless Steel / Silver,"Girard-Perregaux caliber GP03300-0062
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,Opaline,Silver,,Arabic Numerals,Sword,Stainless Steel,25882-11-121-BB6B.jpg
Girard-Perregaux,1966,49523D11A1837CKDB,1966 36mm Stainless Steel / Diamond / Pink / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,Pink,Pink,Guilloche,Mixed,Feuille,Stainless Steel,49523D11A1837CKDB.jpg
Girard-Perregaux,Bridges,99295-21-000-BA6A,Neo Tourbillon with Three Bridges Skeleton Titanium,"Girard-Perregaux caliber GP09400-0011
Hours, Minutes, Small Seconds | Tourbillon Escapement, Skeleton",2018,No,,Sapphire,Open,Round,45.00 mm,15.85 mm,22.00 mm,30.00 m,,Skeleton,,Stick / Dot,Dauphine,Titanium,99295-21-000-BA6A.jpg
